article_id,title,subtitle,url,published_time,top_emotion_en,combined_prob_Joy,combined_prob_Trust,combined_prob_Anticipation,combined_prob_Surprise,combined_prob_Anger,combined_prob_Contempt,combined_prob_Sadness,combined_prob_Fear,label_type,label_class
9749263,Politiets foto-fup: 'Uskyldige bliver overvåget',"FDM kalder det 'grundlæggende bekymrende', når politiet udsætter borgere for overvågning med nummerpladeskannere",https://ekstrabladet.dk/forbrug/Teknologi/politiets-foto-fup-uskyldige-bliver-overvaaget/9749263,2023-05-04 13:00:43,Fear,0.0003134343714918,0.0003166681563016,0.0004574715567287,0.0003958963498007,7.802966138115153e-05,0.000226124189794,0.0002737987379077,0.9979384541511536,emotion,Fear
6575025,Eks-cykelstjerne om Bagger: Han var min ven - og tog røven på mig,"- I min verden er det utilgiveligt, det der bliver gjort der, siger Jens Veggerby om Stein Bagger",https://ekstrabladet.dk/krimi/eks-cykelstjerne-om-bagger-han-var-min-ven-og-tog-roeven-paa-mig/6575025,2017-03-15 15:32:30,Contempt,0.0001971719466382,0.0003879940486513,0.0004523610405158,0.0004827855736948,0.0006133056012913,0.997077226638794,0.0001226984750246,0.0006664188113063,emotion,Contempt
9762961,The Burger Bob i Aarhus V får sur smiley nummer to,Spisestedet The Burger Bob i Aarhus V har indkasseret sin anden sure smiley,https://ekstrabladet.dk/auto/magna/smileys/the-burger-bob-i-aarhus-v-faar-sur-smiley-nummer-to/9762961,2023-05-13 03:01:49,Joy,0.9970082640647888,0.0002277962485095,0.0006620094063691,0.0009725429699756,0.0002596289850771,0.0001275355753023,0.0006042557070031,0.0001379473833367,emotion,Joy
9764008,Stadig mystik om rystelser på Bornholm,Hvorfor rystede Bornholm?,https://ekstrabladet.dk/nyheder/samfund/stadig-mystik-om-rystelser-paa-bornholm/9764008,2023-05-13 20:25:41,Surprise,0.0002665848296601,0.0001439993211533,0.0001498591882409,0.9975523352622986,0.0005335290334187,0.00039894686779,0.0002839905791915,0.0006707670399919,emotion,Surprise
9716546,Fem cabrioleter du skal købe brugt,Klar til sommeren:,https://ekstrabladet.dk/biler/bil_nyheder/fem-cabrioleter-du-skal-koebe-brugt/9716546,2023-04-16 15:01:40,Anticipation,0.0003724376438185,0.000246128096478,0.9982216954231262,0.0001522827660664,0.0001688335469225,0.0004140906094107,0.0002110236382577,0.000213460822124,emotion,Anticipation
9316611,Tourspillets ekspert: Her er holdet til 1. etape,Se hvem Ekstra Bladets managerekspert har fidus til på 1. etape i Tour de France-managerspillet,https://ekstrabladet.dk/sport/cykling/tourspillets-ekspert-her-er-holdet-til-1.-etape/9316611,2022-06-27 17:54:52,Anticipation,0.0003129535762127,0.0002230137615697,0.9983043670654296,0.000217424458242,0.0002044965658569,0.0003932802064809,0.00021091819508,0.0001335157867288,emotion,Anticipation
6518274,Jeg er som skabt til Side 9,"Det kræver en del mod at stille op som Side 9-pige, men Camilla mener at hun er skabt til Danmarks Smukkeste Avisside.",https://ekstrabladet.dk/sex_og_samliv/jeg-er-som-skabt-til-side-9/6518274,2017-02-03 11:00:00,Trust,0.0012378573883324,0.9915097951889038,0.0050814724527299,0.0002575125545263,0.0001720892323646,0.000907956098672,0.0003324153367429,0.0005008620209991,emotion,Trust
9578482,VM Håndbold Manager: Se ekspertens udvalgte til runde 1,"Ekstra Bladets ekspert løfter sløret for, hvilke spillere han tror mest på i managerspillet til herrernes VM-slutrunde i håndbold",https://ekstrabladet.dk/sport/haandbold/vm-haandbold-manager-se-ekspertens-udvalgte-til-runde-1/9578482,2023-01-09 08:25:01,Anticipation,0.000395267503336,0.000248751573963,0.9982183575630188,0.0001893214357551,0.0001572030014358,0.0003090409154538,0.0002304009976796,0.000251649209531,emotion,Anticipation
9718479,Boller i karry med et tvist,"Casper Sobczyks udgave af den danske klassiker er ikke som den, du kender. Men den smager stadig himmelsk",https://ekstrabladet.dk/underholdning/livsstil/article9718479.ece,2023-04-16 11:33:34,Joy,0.9969837069511414,0.0003966135263908,0.000627850764431,0.0006109466776251,0.0005377104971557,0.0001275256217923,0.0002978356787934,0.0004178239323664,emotion,Joy
9078230,Så fed er deres nye politibil,"Fransk politi har bestilt en række nye politibiler, som nok skal afføde respekt blandt trafikanterne",https://ekstrabladet.dk/biler/saa-fed-er-deres-nye-politibil/9078230,2022-01-12 09:10:23,Trust,0.001041721436195,0.9935100674629213,0.0036848429590463,0.0003982549533247,0.0001675919047556,0.0006985793588683,0.0002345314424019,0.0002643708721734,emotion,Trust
